crop_name,kingdom,order,family,genus,botanical_name
pigeon_pea,plantae,fabales,fabaceae,cajanus,cajanus cajan
papaya,plantae,brassicales,caricaceae,carica,carica papaya
chickpea,plantae,fabales,fabaceae,cicer,cicer arietinum
watermelon,plantae,cucurbitales,cucurbitaceae,citrullus,citrullus lanatus
orange,plantae,sapindales,rutaceae,citrus,citrus sinensis
coconut,plantae,arecales,arecaceae,cocos,cocos nucifera
coffee,plantae,gentianales,rubiaceae,coffea,coffea spp.
jute,plantae,malvales,malvaceae,corchorus,corchorus spp.
muskmelon,plantae,cucurbitales,cucurbitaceae,cucumis,cucumis melo
cotton,plantae,malvales,malvaceae,gossypium,gossypium spp.
lentil,plantae,fabales,fabaceae,lens,lens culinaris
apple,plantae,rosales,rosaceae,malus,malus sylvestris
mango,plantae,sapindales,anacardiaceae,mangifera,mangifera indica
banana,plantae,zingiberales,musaceae,musa,musa paradisiaca
rice,plantae,poales,poaceae,oryza,oryza sativa
kidney_bean,plantae,fabales,fabaceae,phaseolus,phaseolus vulgaris
pomegranate,plantae,myrtales,lythraceae,punica,punica granatum
moth_bean,plantae,fabales,fabaceae,vigna,vigna aconitifolia
urad_bean,plantae,fabales,fabaceae,vigna,vigna mungo
mung_bean,plantae,fabales,fabaceae,vigna,vigna radiata
grape,plantae,vitales,vitaceae,vitis,vitis vinifera
maize,plantae,poales,poaceae,zea,zea mays
